iter	MultiClass
0	2.522836897
1	2.487218083
2	2.443866405
3	2.40907635
4	2.374298317
5	2.33570744
6	2.305588901
7	2.27630116
8	2.244166446
9	2.214915249
10	2.187971812
11	2.159546081
12	2.131682881
13	2.106640113
14	2.081093006
15	2.052089612
16	2.031242107
17	2.010141858
18	1.991050264
19	1.968494246
20	1.949203874
21	1.929504451
22	1.913051493
23	1.895761566
24	1.878882119
25	1.859259615
26	1.841986519
27	1.823501558
28	1.807417791
29	1.790411004
30	1.77694789
31	1.761515239
32	1.746302081
33	1.731176978
34	1.717578153
35	1.704875512
36	1.691492353
37	1.677738509
38	1.666515398
39	1.651954535
40	1.638829775
41	1.625725006
42	1.614134532
43	1.603425068
44	1.592417856
45	1.580880434
46	1.569926182
47	1.560627774
48	1.549680184
49	1.53857837
50	1.528750674
51	1.518358609
52	1.506873229
53	1.496237974
54	1.486301016
55	1.475518348
56	1.466611296
57	1.455970313
58	1.446760739
59	1.436698461
60	1.428333313
61	1.419552877
62	1.41054469
63	1.403588308
64	1.395484188
65	1.386515872
66	1.378726057
67	1.370767993
68	1.362156096
69	1.354325709
70	1.346715839
71	1.337999956
72	1.330228573
73	1.322980135
74	1.314391622
75	1.30670789
76	1.298465493
77	1.291250788
78	1.284658231
79	1.277612837
80	1.270458959
81	1.262476691
82	1.254827478
83	1.248487869
84	1.242298191
85	1.235188437
86	1.228173497
87	1.220748021
88	1.213584294
89	1.207577089
90	1.200973914
91	1.193874092
92	1.186646953
93	1.179821981
94	1.174916439
95	1.169462704
96	1.163077493
97	1.156340879
98	1.150234094
99	1.145688011
100	1.139400283
101	1.13285311
102	1.127227571
103	1.122267095
104	1.116445309
105	1.110934419
106	1.104686161
107	1.098974067
108	1.093239818
109	1.087622069
110	1.082464293
111	1.076615354
112	1.07061788
113	1.06522776
114	1.060256505
115	1.054927229
116	1.049925989
117	1.045415591
118	1.041193033
119	1.036598656
120	1.032052706
121	1.026793909
122	1.02143463
123	1.016700963
124	1.012002711
125	1.006982744
126	1.002750821
127	0.9973469217
128	0.9917745047
129	0.9870045275
130	0.9825983643
131	0.9776455906
132	0.9734478591
133	0.9685984354
134	0.964795578
135	0.9607394395
136	0.9565312485
137	0.9518649379
138	0.9472002445
139	0.9425701979
140	0.9383652425
141	0.9337796578
142	0.9296282124
143	0.9246091475
144	0.9208743531
145	0.9169971202
146	0.9127346452
147	0.9077667227
148	0.9037066277
149	0.899457815
150	0.8964166768
151	0.8928138514
152	0.8884632001
153	0.8854227675
154	0.8812521627
155	0.8779764698
156	0.87438336
157	0.8701819967
158	0.8661541407
159	0.8623553863
160	0.8589356352
161	0.8544994651
162	0.8509198494
163	0.8476140907
164	0.8445875881
165	0.8409141515
166	0.8374247215
167	0.8352906123
168	0.832022446
169	0.8286617208
170	0.824628551
171	0.8207291095
172	0.8181139797
173	0.813827624
174	0.810244303
175	0.8078753675
176	0.8039996733
177	0.80097328
178	0.7972596552
179	0.793603374
180	0.7906542373
181	0.7874634652
182	0.7847986981
183	0.7822745802
184	0.7790459453
185	0.776134063
186	0.7724888883
187	0.7695789798
188	0.7658602709
189	0.7634186081
190	0.7599385492
191	0.7573816232
192	0.754516438
193	0.7522823128
194	0.7503055566
195	0.7465848292
196	0.744304909
197	0.7411748159
198	0.737671401
199	0.734898682
200	0.7325927921
201	0.7299291355
202	0.7271765029
203	0.7255902102
204	0.7230059193
205	0.7206067513
206	0.7177494964
207	0.7147215427
208	0.7128763145
209	0.7102623496
210	0.7074376845
211	0.7052268756
212	0.7034339027
213	0.7006439496
214	0.6977134163
215	0.6955150721
216	0.6934351963
217	0.6907116277
218	0.6888328125
219	0.6871729185
220	0.6846180414
221	0.6816895119
222	0.6784503025
223	0.6771607699
224	0.6741496869
225	0.6719206866
226	0.6700704122
227	0.6681474106
228	0.6663376441
229	0.6641743283
230	0.6624426611
