iter	Passed	Remaining
0	1364	680938
1	2777	691498
2	4127	683841
3	5553	688632
4	6919	685006
5	8286	682274
6	9689	682389
7	11106	683078
8	12473	680517
9	13854	678875
10	15247	677818
11	16687	678624
12	18135	679370
13	19577	679615
14	20952	677453
15	22403	677699
16	24000	681909
17	25506	683011
18	27012	683834
19	28499	683993
20	30092	686394
21	31614	686887
22	33148	687479
23	34720	688615
24	36238	688528
25	37774	688666
26	39325	688927
27	40877	689071
28	42349	687815
29	43810	686371
30	45300	685359
31	46971	686961
32	48619	688034
33	50110	686803
34	51571	685158
35	53099	684387
36	54590	683121
37	56003	680889
38	57382	678290
39	58868	676988
40	60277	674811
41	61710	672939
42	63105	670681
43	64596	669454
44	66024	667583
45	67525	666449
46	68965	664712
47	70449	663402
48	71863	661439
49	73274	659468
50	74784	658397
51	76383	658077
52	77957	657491
53	79482	656464
54	80944	654911
55	82501	654119
56	83962	652552
57	85404	650844
58	86818	648933
59	88293	647485
60	89691	645483
61	91092	643521
62	92561	642052
63	94022	640529
64	95580	639655
65	97168	638955
66	98664	637640
67	100194	636531
68	101657	634991
69	103117	633437
70	104580	631902
71	106097	630691
72	107625	629533
73	109139	628291
74	110638	626953
75	112168	625783
76	113637	624267
77	115106	622756
78	116562	621175
79	118063	619831
80	119467	617984
81	120851	616049
82	122326	614581
83	123708	612651
84	125113	610848
85	126559	609249
86	127955	607422
87	129362	605650
88	130782	603950
89	132209	602288
90	133590	600425
91	134995	598676
92	136387	596879
93	137898	595605
94	139347	594061
95	140794	592508
96	142262	591048
97	143657	589288
98	145157	587961
99	146574	586297
100	148022	584760
101	149424	583049
102	150812	581287
103	152249	579718
104	153725	578299
105	155149	576688
106	156528	574913
107	158006	573505
108	159487	572104
109	161025	570909
110	162482	569419
111	163967	568031
112	165536	566925
113	166994	565438
114	168557	564301
115	170147	563246
116	171699	562058
117	173175	560618
118	174718	559393
119	176188	557931
120	177610	556318
121	179071	554826
122	180473	553158
123	181920	551628
124	183331	549995
125	184771	548447
126	186176	546803
127	187565	545112
128	188998	543553
129	190486	542153
130	191909	540568
131	193307	538919
132	194814	537569
133	196500	536710
134	198287	536109
135	199850	534895
136	201377	533576
137	203056	532654
138	204592	531351
139	206177	530169
140	207714	528862
141	209266	527588
142	210702	526019
143	212143	524466
144	213634	523035
145	215040	521400
146	216536	519981
147	217977	518432
148	219438	516933
149	220935	515515
150	222447	514134
151	224232	513374
152	226112	512817
153	227991	512241
154	229737	511351
155	231391	510248
156	233121	509303
157	234944	508550
158	237068	508430
159	239700	509363
160	241755	509037
161	243769	508604
162	245369	507298
163	246937	505921
164	248710	504958
165	250287	503590
166	251734	501962
167	253672	501305
168	255560	500535
169	257249	499366
170	258970	498252
171	260554	496871
172	262190	495585
173	263975	494575
174	265667	493382
175	267343	492155
176	268896	490697
177	270527	489381
178	272127	488004
179	273736	486643
180	275286	485174
181	276825	483683
182	278487	482406
183	280044	480945
184	281635	479540
185	283187	478069
186	284907	476877
187	286493	475457
188	288099	474068
189	289782	472802
190	291326	471308
191	293162	470282
192	294706	468782
193	296331	467409
194	297841	465855
195	299405	464383
196	300987	462940
197	302481	461360
198	304013	459839
199	305556	458335
200	307091	456817
201	308658	455347
202	310117	453719
203	311666	452222
204	313152	450634
205	314685	449114
206	316186	447549
207	317731	446045
208	319249	444505
209	320748	442937
210	322378	441551
211	323893	440006
212	325460	438530
213	326938	436936
214	328516	435475
215	329988	433873
216	331480	432299
217	333040	430813
218	334539	429249
219	336194	427883
220	337685	426308
221	339269	424850
222	340782	423303
223	342267	421722
224	343825	420231
225	345372	418726
226	346950	417257
227	348501	415756
228	350111	414324
229	351574	412717
230	353048	411125
231	354584	409606
232	356028	407981
233	357548	406443
234	358971	404797
235	360464	403231
236	361882	401582
237	363316	399953
238	364871	398458
239	366268	396791
240	367689	395151
241	369204	393615
242	370614	391966
243	372013	390308
244	373540	388787
245	374946	387140
246	376431	385575
247	377871	383966
248	379369	382416
249	380817	380817
250	382331	379285
251	383768	377677
252	385190	376055
253	386715	374535
254	388164	372942
255	389634	371370
256	391066	369763
257	392627	368278
258	394022	366638
259	395457	365037
260	396948	363488
261	398380	361887
262	399887	360354
263	401300	358738
264	402741	357148
265	404266	355633
266	405709	354045
267	407226	352524
268	408699	350964
269	410219	349446
270	411718	347909
271	413169	346333
272	414688	344814
273	416181	343274
274	417722	341773
275	419215	340232
276	420746	338723
277	422177	337134
278	423702	335620
279	425201	334086
280	426722	332570
281	428165	330993
282	429666	329461
283	431238	327984
284	432729	326445
285	434257	324933
286	435756	323401
287	437312	321910
288	438819	320383
289	440392	318905
290	441882	317365
291	443358	315817
292	444885	314304
293	446630	312944
294	448262	311504
295	449834	310021
296	451685	308727
297	453286	307261
298	454854	305771
299	456507	304338
300	458012	302805
301	459554	301297
302	461182	299844
303	462703	298321
304	464345	296876
305	465959	295412
306	467643	293990
307	469302	292551
308	470999	291135
309	472753	289751
310	474457	288335
311	476153	286913
312	477780	285447
313	479409	283981
314	481155	282583
315	482767	281104
316	484402	279639
317	485936	278114
318	487462	276585
319	488987	275055
320	490562	273553
321	492142	272054
322	493670	270525
323	495216	269006
324	496701	267454
325	498250	265937
326	499761	264399
327	501315	262884
328	502808	261338
329	504290	259786
330	505828	258262
331	507292	256702
332	508817	255172
333	510274	253609
334	511783	252072
335	513239	250509
336	514769	248983
337	516248	247432
338	517776	245905
339	519286	244370
340	520820	242846
341	522285	241289
342	523729	239724
343	525243	238191
344	526680	236624
345	528185	235088
346	529651	233535
347	531181	232010
348	532638	230453
349	534276	228975
350	535889	227485
351	537417	225959
352	538827	224384
353	540249	222814
354	541743	221275
355	543151	219701
356	544643	218162
357	546051	216590
358	547541	215051
359	548969	213488
360	550557	211987
361	552025	210440
362	553528	208907
363	555154	207420
364	556608	205869
365	558132	204343
366	559695	202832
367	561246	201316
368	562738	199779
369	564244	198247
370	565670	196688
371	567100	195131
372	568604	193599
373	570001	192032
374	571722	190574
375	573454	189118
376	575111	187635
377	576678	186123
378	578227	184605
379	579700	183063
380	581257	181547
381	582909	180061
382	584409	178527
383	585938	177002
384	587434	175467
385	588960	173941
386	590453	172406
387	592033	170896
388	593463	169342
389	595030	167828
390	596515	166292
391	598109	164785
392	599577	163243
393	601071	161709
394	602599	160184
395	604061	158642
396	605574	157113
397	607062	155578
398	608569	154049
399	610012	152503
400	611495	150967
401	612916	149417
402	614433	147890
403	615858	146342
404	617383	144818
405	618890	143289
406	620461	141776
407	621911	140234
408	623382	138698
409	624919	137177
410	626338	135630
411	627823	134098
412	629217	132547
413	630717	131018
414	632131	129472
415	633528	127924
416	634958	126382
417	636362	124836
418	637786	123295
419	639181	121748
420	640578	120203
421	641918	118648
422	643334	117108
423	644668	115553
424	646030	114005
425	647405	112460
426	648770	110913
427	650204	109380
428	651595	107839
429	653000	106302
430	654314	104751
431	655704	103212
432	657019	101663
433	658392	100124
434	659691	98574
435	661062	97036
436	662366	95489
437	663745	93954
438	665058	92411
439	666399	90872
440	667817	89345
441	669108	87801
442	670476	86268
443	671792	84730
444	673181	83202
445	674495	81665
446	675838	80133
447	677142	78596
448	678454	77062
449	679873	75541
450	681194	74010
451	682596	72488
452	683926	70959
453	685268	69432
454	686680	67913
455	688019	66387
456	689429	64869
457	690783	63346
458	692197	61830
459	693588	60312
460	695125	58806
461	696604	57296
462	698087	55786
463	699594	54278
464	700990	52762
465	702476	51253
466	703919	49741
467	705321	48227
468	706767	46715
469	708149	45201
470	709623	43692
471	711032	42179
472	712440	40667
473	713806	39153
474	715209	37642
475	716564	36129
476	717907	34616
477	719317	33106
478	720669	31595
479	722082	30086
480	723465	28577
481	724842	27068
482	726190	25559
483	727619	24053
484	728976	22545
485	730393	21040
486	731739	19533
487	733152	18028
488	734529	16523
489	735934	15019
490	737283	13514
491	738709	12011
492	740119	10508
493	741582	9007
494	742926	7504
495	744336	6002
496	745698	4501
497	747107	3000
498	748450	1499
499	749855	0
